Email id,From Name,From seniority,From Department,To Name,To seniority,To Department,Email topic,Date,Sentiment,Is opened?,Device,Within work hours,Within workdays
35,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Meeting Scheduling,3/12/2024,neutral,opened,desktop,yes,yes
36,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/28/2024,positive,opened,desktop,no,yes
37,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,3/29/2024,negative,opened,desktop,yes,yes
38,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Project Updates,3/12/2024,neutral,opened,mobile,yes,yes
39,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Meeting Scheduling,3/22/2024,neutral,opened,desktop,yes,yes
40,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Legal Matters,3/29/2024,positive,opened,desktop,yes,yes
41,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,3/5/2024,neutral,opened,mobile,no,yes
42,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,3/15/2024,neutral,opened,desktop,yes,yes
43,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Legal Matters,3/29/2024,neutral,opened,desktop,no,yes
44,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,3/27/2024,positive,opened,desktop,yes,yes
45,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,3/15/2024,neutral,opened,desktop,yes,yes
46,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Internal Policies and Procedures,3/22/2024,neutral,opened,mobile,yes,yes
47,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Project Updates,3/19/2024,positive,opened,desktop,yes,yes
48,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,3/12/2024,neutral,opened,desktop,yes,yes
49,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Security Alerts,3/7/2024,neutral,opened,desktop,no,yes
50,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/25/2024,positive,opened,desktop,no,yes
51,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/13/2024,neutral,opened,desktop,yes,yes
52,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,3/8/2024,neutral,opened,desktop,yes,yes
53,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/25/2024,neutral,opened,desktop,yes,yes
54,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/11/2024,neutral,opened,desktop,yes,yes
55,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Internal Policies and Procedures,3/1/2024,neutral,unopened,desktop,no,yes
56,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Meeting Scheduling,3/15/2024,neutral,opened,desktop,yes,yes
57,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/5/2024,neutral,opened,desktop,yes,yes
58,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/12/2024,neutral,opened,desktop,no,yes
59,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/19/2024,neutral,opened,desktop,yes,yes
60,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,3/29/2024,neutral,opened,desktop,yes,yes
61,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/4/2024,neutral,opened,mobile,yes,yes
62,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Project Updates,3/29/2024,neutral,opened,mobile,yes,yes
63,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Client Related Communication,3/8/2024,positive,opened,desktop,no,yes
64,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Internal Policies and Procedures,3/4/2024,positive,opened,desktop,yes,yes
65,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Operational Issues,3/28/2024,neutral,opened,desktop,yes,yes
66,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Project Updates,3/12/2024,neutral,opened,desktop,yes,yes
67,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Training and Development,3/13/2024,positive,opened,desktop,yes,yes
68,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/15/2024,neutral,opened,mobile,yes,yes
69,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,HR related topics,3/29/2024,neutral,opened,desktop,yes,yes
70,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Meeting Scheduling,3/12/2024,neutral,opened,desktop,yes,yes
71,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/12/2024,negative,opened,desktop,no,yes
72,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Internal Policies and Procedures,3/25/2024,positive,opened,desktop,yes,yes
73,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/4/2024,positive,opened,desktop,yes,yes
74,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/6/2024,neutral,opened,desktop,yes,yes
75,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/15/2024,positive,opened,desktop,no,yes
76,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Product Development,3/4/2024,neutral,unopened,desktop,yes,yes
77,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,HR related topics,3/25/2024,neutral,opened,mobile,yes,yes
78,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Internal Policies and Procedures,3/7/2024,neutral,opened,desktop,yes,yes
79,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,3/11/2024,neutral,opened,desktop,yes,yes
80,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,3/12/2024,neutral,opened,desktop,yes,yes
81,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,3/5/2024,neutral,opened,desktop,yes,yes
82,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/28/2024,positive,opened,mobile,yes,yes
83,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/4/2024,positive,opened,desktop,no,yes
84,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/15/2024,neutral,opened,desktop,no,yes
85,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,3/5/2024,neutral,opened,desktop,yes,yes
86,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Operational Issues,3/28/2024,neutral,unopened,desktop,yes,yes
87,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/5/2024,neutral,opened,desktop,yes,yes
88,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/19/2024,neutral,opened,desktop,yes,yes
89,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Training and Development,3/28/2024,negative,opened,mobile,yes,yes
90,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/26/2024,positive,opened,desktop,yes,yes
91,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,3/13/2024,positive,opened,desktop,yes,yes
92,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,HR related topics,3/18/2024,neutral,opened,desktop,yes,yes
93,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/4/2024,positive,opened,desktop,yes,yes
94,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/12/2024,neutral,unopened,desktop,yes,yes
95,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,3/5/2024,neutral,opened,desktop,no,yes
96,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,3/25/2024,positive,opened,desktop,yes,yes
97,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/7/2024,positive,opened,desktop,yes,yes
98,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,3/25/2024,neutral,opened,desktop,yes,yes
99,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Operational Issues,3/29/2024,positive,opened,desktop,yes,yes
100,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,3/21/2024,negative,opened,desktop,yes,yes
101,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/15/2024,positive,opened,mobile,no,yes
102,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,3/28/2024,neutral,opened,mobile,yes,yes
103,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,3/11/2024,neutral,opened,mobile,yes,yes
104,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,3/29/2024,neutral,unopened,desktop,yes,yes
105,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,3/4/2024,neutral,opened,mobile,yes,yes
106,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,3/12/2024,positive,unopened,desktop,yes,yes
107,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,3/12/2024,positive,opened,desktop,yes,yes
108,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,3/14/2024,neutral,opened,desktop,no,yes
109,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/15/2024,neutral,opened,desktop,yes,yes
110,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Security Alerts,3/18/2024,neutral,opened,desktop,yes,yes
111,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,3/29/2024,negative,opened,desktop,yes,yes
112,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/22/2024,neutral,opened,desktop,no,yes
113,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,3/12/2024,neutral,opened,desktop,yes,yes
114,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,3/4/2024,neutral,opened,desktop,yes,yes
115,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Operational Issues,3/15/2024,positive,opened,desktop,yes,yes
116,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/4/2024,positive,opened,desktop,yes,yes
117,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,3/28/2024,neutral,unopened,desktop,yes,yes
118,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/11/2024,neutral,opened,desktop,yes,yes
119,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,3/15/2024,positive,opened,desktop,yes,yes
185,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/26/2024,positive,opened,desktop,yes,yes
186,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,3/25/2024,neutral,opened,desktop,yes,yes
187,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,3/19/2024,positive,opened,desktop,yes,yes
188,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/4/2024,positive,opened,desktop,yes,yes
189,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/8/2024,neutral,opened,desktop,yes,yes
190,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Vendor Relations,3/7/2024,neutral,opened,desktop,yes,yes
191,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Meeting Scheduling,3/15/2024,positive,opened,desktop,yes,yes
192,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Internal Policies and Procedures,3/14/2024,positive,opened,desktop,no,yes
193,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Project Updates,3/17/2024,positive,opened,mobile,no,no
194,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,3/27/2024,negative,opened,desktop,yes,yes
195,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,3/21/2024,neutral,opened,desktop,yes,yes
196,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Operational Issues,3/17/2024,positive,opened,desktop,no,no
197,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,3/29/2024,neutral,opened,mobile,no,yes
198,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/27/2024,neutral,opened,desktop,yes,yes
199,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/15/2024,neutral,opened,desktop,yes,yes
200,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/7/2024,neutral,opened,desktop,yes,yes
201,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,3/29/2024,neutral,opened,desktop,no,yes
202,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Product Development,3/18/2024,neutral,opened,mobile,yes,yes
203,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Project Updates,3/8/2024,neutral,opened,desktop,no,yes
204,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/12/2024,neutral,opened,desktop,yes,yes
205,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Legal Matters,3/29/2024,positive,opened,desktop,yes,yes
206,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Vendor Relations,3/15/2024,positive,opened,desktop,yes,yes
207,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/15/2024,neutral,opened,desktop,yes,yes
208,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/19/2024,neutral,unopened,desktop,yes,yes
209,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Product Development,3/12/2024,negative,opened,desktop,yes,yes
210,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/20/2024,neutral,opened,desktop,yes,yes
211,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,3/17/2024,neutral,opened,mobile,no,no
212,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),HR related topics,3/15/2024,positive,unopened,mobile,yes,yes
213,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Meeting Scheduling,3/20/2024,neutral,opened,desktop,no,yes
214,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/18/2024,neutral,unopened,desktop,yes,yes
215,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Project Updates,3/12/2024,neutral,opened,desktop,yes,yes
216,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Meeting Scheduling,3/19/2024,neutral,unopened,desktop,yes,yes
217,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Meeting Scheduling,3/22/2024,neutral,opened,desktop,yes,yes
218,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/8/2024,positive,opened,desktop,yes,yes
219,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/6/2024,neutral,opened,desktop,yes,yes
220,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,HR related topics,3/1/2024,neutral,opened,desktop,no,yes
221,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/7/2024,positive,opened,mobile,yes,yes
222,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/8/2024,negative,opened,desktop,yes,yes
223,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/11/2024,positive,opened,mobile,no,yes
224,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Product Development,3/6/2024,neutral,opened,mobile,no,yes
225,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/16/2024,neutral,opened,mobile,no,no
226,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/15/2024,positive,opened,desktop,yes,yes
227,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,3/28/2024,positive,unopened,desktop,yes,yes
228,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Meeting Scheduling,3/11/2024,positive,opened,desktop,yes,yes
229,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Training and Development,3/29/2024,neutral,opened,desktop,yes,yes
230,Corey Scandwright,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,3/14/2024,negative,opened,desktop,yes,yes
231,Corey Scandwright,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Meeting Scheduling,3/5/2024,neutral,opened,desktop,no,yes
232,Corey Scandwright,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Legal Matters,3/12/2024,neutral,opened,mobile,yes,yes
233,Corey Scandwright,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Meeting Scheduling,3/12/2024,positive,opened,desktop,yes,yes
234,Corey Scandwright,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/7/2024,positive,opened,desktop,yes,yes
235,Corey Scandwright,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/20/2024,neutral,opened,mobile,yes,yes
236,Corey Scandwright,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/7/2024,positive,opened,mobile,yes,yes
237,Corey Scandwright,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Project Updates,3/19/2024,neutral,opened,desktop,yes,yes
238,Corey Scandwright,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,3/15/2024,positive,opened,desktop,yes,yes
239,Corey Scandwright,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Technical Support,3/18/2024,neutral,opened,desktop,yes,yes
240,Corey Scandwright,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/22/2024,neutral,opened,mobile,yes,yes
241,Corey Scandwright,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Legal Matters,3/6/2024,positive,opened,mobile,yes,yes
242,Corey Scandwright,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Legal Matters,3/26/2024,negative,opened,desktop,yes,yes
243,Corey Scandwright,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/26/2024,positive,opened,desktop,no,yes
244,Corey Scandwright,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/19/2024,neutral,opened,mobile,yes,yes
245,Corey Scandwright,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Project Updates,3/1/2024,positive,opened,desktop,no,yes
246,Corey Scandwright,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/15/2024,positive,opened,desktop,yes,yes
247,Corey Scandwright,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/23/2024,neutral,unopened,desktop,no,no
248,Corey Scandwright,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,3/11/2024,neutral,opened,desktop,yes,yes
249,Corey Scandwright,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/21/2024,neutral,opened,mobile,yes,yes
250,Corey Scandwright,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,3/20/2024,neutral,opened,mobile,yes,yes
251,Corey Scandwright,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,3/25/2024,positive,unopened,mobile,yes,yes
252,Corey Scandwright,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Vendor Relations,3/15/2024,positive,unopened,desktop,no,yes
253,Corey Scandwright,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Training and Development,3/1/2024,neutral,opened,desktop,no,yes
254,Corey Scandwright,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,3/12/2024,neutral,opened,desktop,yes,yes
255,Corey Scandwright,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,3/14/2024,neutral,opened,desktop,yes,yes
